0.51
8.95
64
0	-1	-1	-1

-1	0	-1	-1

-1	-1	0	-1

-1	-1	-1	0

-1	-1	0	-1

-1	0	-1	-1

0	-1	-1	-1

-1	0	-1	-1

-1	-1	0	-1

-1	-1	-1	0

-1	-1	0	-1

-1	0	-1	-1

0	-1	-1	-1

-1	0	-1	-1

-1	-1	0	-1

-1	-1	-1	0

-1	-1	0	-1

-1	0	-1	-1

0	-1	-1	-1

-1	0	-1	-1

-1	-1	0	-1

-1	-1	-1	0

-1	-1	0	-1

-1	0	-1	-1

0	-1	-1	2

-1	-1	-1	-1

0	-1	-1	-1

-1	-1	-1	-1

2	-1	-1	0

-1	-1	-1	-1

-1	-1	-1	0

-1	-1	-1	-1

0	-1	-1	-1

-1	-1	-1	-1

-1	-1	-1	-1

-1	0	-1	-1

-1	1	0	-1

-1	-1	1	0

-1	1	-1	1

-1	-1	-1	-1

-1	-1	-1	-1

-1	0	0	-1

-1	-1	-1	-1

-1	-1	-1	-1

-1	-1	-1	-1

-1	-1	2	-1

-1	0	-1	-1

0	-1	-1	-1

-1	-1	-1	-1

-1	-1	-1	-1

-1	-1	-1	-1

-1	0	-1	-1

-1	-1	-1	-1

-1	-1	-1	-1

-1	-1	0	-1

-1	-1	-1	-1

-1	-1	-1	-1

-1	-1	-1	-1

-1	-1	-1	-1

-1	-1	-1	-1

-1	-1	-1	-1

-1	-1	-1	-1

-1	-1	-1	-1

-1	-1	-1	-1

48

